Country,EdLevel,YearsExperience,DevType,AnualSalary
India,Bachelor’s degree,5.0,"Developer, front-end",16754.0
India,Bachelor’s degree,3.0,"Developer, front-end",22339.0
India,Bachelor’s degree,1.0,"Developer, front-end",10471.0
India,Bachelor’s degree,10.0,"Developer, front-end",19826.0
India,Bachelor’s degree,2.0,"Developer, front-end",9354.0
India,Bachelor’s degree,1.0,"Developer, front-end",34485.0
India,Bachelor’s degree,4.0,"Developer, front-end",13780.0
India,Bachelor’s degree,0.5,"Developer, front-end",41885.0
India,Bachelor’s degree,1.0,"Developer, front-end",18150.0
India,Bachelor’s degree,8.0,"Developer, front-end",7536.0
India,Bachelor’s degree,1.0,"Developer, front-end",10848.0
India,Bachelor’s degree,0.5,"Developer, front-end",9075.0
India,Bachelor’s degree,2.0,"Developer, front-end",9075.0
India,Master’s degree,6.0,"Developer, front-end",10896.0
India,Master’s degree,11.0,"Developer, front-end",50000.0
India,Bachelor’s degree,5.0,"Developer, front-end",27923.0
India,Bachelor’s degree,7.0,"Developer, front-end",20244.0
India,Master’s degree,5.0,"Developer, front-end",7536.0
India,Bachelor’s degree,3.0,"Developer, front-end",10136.0
India,Bachelor’s degree,6.0,"Developer, front-end",16752.0
India,Bachelor’s degree,6.0,"Developer, front-end",20244.0
India,Bachelor’s degree,0.5,"Developer, front-end",16754.0
India,Bachelor’s degree,1.0,"Developer, front-end",13333.0
India,Bachelor’s degree,5.0,"Developer, front-end",16203.0
India,Bachelor’s degree,7.0,"Developer, front-end",16752.0
India,Master’s degree,16.0,"Developer, front-end",27923.0
India,Master’s degree,13.0,"Developer, front-end",11169.0
India,Bachelor’s degree,3.0,"Developer, front-end",12845.0
India,Bachelor’s degree,4.0,"Developer, front-end",9773.0
India,Bachelor’s degree,3.0,"Developer, front-end",10896.0
India,Master’s degree,7.0,"Developer, front-end",11867.0
India,Bachelor’s degree,5.0,"Developer, front-end",15428.0
India,Master’s degree,2.0,"Developer, front-end",15358.0
India,Bachelor’s degree,3.0,"Developer, front-end",15358.0
India,Master’s degree,3.0,"Developer, front-end",29320.0
India,Master’s degree,5.0,"Developer, front-end",13264.0
India,Bachelor’s degree,5.0,"Developer, front-end",11724.0
India,Bachelor’s degree,4.0,"Developer, front-end",6981.0
India,Bachelor’s degree,6.0,"Developer, front-end",11169.0
India,Bachelor’s degree,3.0,"Developer, front-end",20000.0
India,Bachelor’s degree,1.0,"Developer, front-end",9075.0
India,Master’s degree,4.0,"Developer, front-end",9773.0
India,Bachelor’s degree,9.0,"Developer, front-end",12566.0
India,Less than a Bachelor’s,2.0,"Developer, front-end",15079.0
India,Bachelor’s degree,13.0,"Developer, front-end",11867.0
India,Bachelor’s degree,3.0,"Developer, front-end",15358.0
India,Less than a Bachelor’s,14.0,"Developer, front-end",20100.0
India,Bachelor’s degree,2.0,"Developer, front-end",8376.0
India,Bachelor’s degree,8.0,"Developer, front-end",27644.0
India,Bachelor’s degree,4.0,"Developer, front-end",16754.0
India,Bachelor’s degree,7.0,"Developer, front-end",50268.0
India,Bachelor’s degree,5.0,"Developer, front-end",16754.0
India,Bachelor’s degree,12.0,"Developer, front-end",41880.0
India,Bachelor’s degree,16.0,"Developer, front-end",48866.0
India,Less than a Bachelor’s,2.0,"Developer, front-end",9047.0
India,Master’s degree,4.0,"Developer, front-end",10152.0
India,Bachelor’s degree,3.0,"Developer, front-end",21636.0
India,Bachelor’s degree,5.0,"Developer, front-end",7679.0
India,Bachelor’s degree,5.0,"Developer, front-end",21641.0
India,Bachelor’s degree,3.0,"Developer, front-end",7536.0
India,Bachelor’s degree,1.0,"Developer, front-end",12915.0
India,Master’s degree,7.0,"Developer, front-end",13404.0
India,Master’s degree,0.5,"Developer, front-end",26527.0
India,Bachelor’s degree,5.0,"Developer, front-end",29320.0
India,Master’s degree,5.0,"Developer, front-end",11169.0
India,Bachelor’s degree,2.0,"Developer, front-end",7679.0
India,Less than a Bachelor’s,0.5,"Developer, front-end",16754.0
India,Bachelor’s degree,1.0,"Developer, front-end",10611.0
India,Bachelor’s degree,4.0,"Developer, front-end",43281.0
India,Bachelor’s degree,3.0,"Developer, front-end",12500.0
India,Bachelor’s degree,2.0,"Developer, front-end",16752.0
India,Less than a Bachelor’s,1.0,"Developer, front-end",12566.0
India,Bachelor’s degree,9.0,"Developer, front-end",20943.0
India,Bachelor’s degree,4.0,"Developer, front-end",9773.0
India,Bachelor’s degree,9.0,"Developer, front-end",20943.0
India,Bachelor’s degree,11.0,"Developer, front-end",41885.0
India,Bachelor’s degree,6.0,"Developer, front-end",25128.0
India,Bachelor’s degree,5.0,"Developer, front-end",33504.0
India,Bachelor’s degree,4.0,"Developer, front-end",9075.0
India,Bachelor’s degree,9.0,"Developer, front-end",18150.0
India,Bachelor’s degree,2.0,"Developer, front-end",13054.0
India,Master’s degree,4.0,"Developer, front-end",16754.0
India,Bachelor’s degree,1.0,"Developer, front-end",19895.0
India,Bachelor’s degree,3.0,"Developer, front-end",9410.0
India,Bachelor’s degree,3.0,"Developer, front-end",9773.0
India,Master’s degree,2.0,"Developer, front-end",8377.0
India,Master’s degree,7.0,"Developer, front-end",6696.0
India,Master’s degree,11.0,"Developer, front-end",13962.0
India,Bachelor’s degree,6.0,"Developer, front-end",10056.0
India,Bachelor’s degree,4.0,"Developer, front-end",9536.0
India,Bachelor’s degree,6.0,"Developer, front-end",27923.0
Australia,Master’s degree,3.0,"Developer, front-end",40086.0
Australia,Less than a Bachelor’s,10.0,"Developer, front-end",120257.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",63469.0
Australia,Less than a Bachelor’s,12.0,"Developer, front-end",53448.0
Australia,Bachelor’s degree,15.0,"Developer, front-end",83512.0
Australia,Bachelor’s degree,15.0,"Developer, front-end",126938.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",43426.0
Australia,Bachelor’s degree,7.0,"Developer, front-end",60129.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",87521.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",73491.0
Australia,Bachelor’s degree,30.0,"Developer, front-end",80840.0
Australia,Bachelor’s degree,12.0,"Developer, front-end",54784.0
Australia,Bachelor’s degree,8.0,"Developer, front-end",66810.0
Australia,Master’s degree,6.0,"Developer, front-end",62133.0
Australia,Less than a Bachelor’s,8.0,"Developer, front-end",77772.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",46767.0
Australia,Bachelor’s degree,7.0,"Developer, front-end",66810.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",38750.0
Australia,Less than a Bachelor’s,2.0,"Developer, front-end",50107.0
Australia,Postgraduate,22.0,"Developer, front-end",105559.0
Australia,Bachelor’s degree,20.0,"Developer, front-end",80172.0
Australia,Less than a Bachelor’s,5.0,"Developer, front-end",60129.0
Australia,Bachelor’s degree,12.0,"Developer, front-end",93533.0
Australia,Bachelor’s degree,4.0,"Developer, front-end",40086.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",76831.0
Australia,Less than a Bachelor’s,5.0,"Developer, front-end",63469.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",123598.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",71820.0
Australia,Bachelor’s degree,10.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,3.0,"Developer, front-end",60129.0
Australia,Bachelor’s degree,18.0,"Developer, front-end",120257.0
Australia,Bachelor’s degree,3.0,"Developer, front-end",55160.0
Australia,Master’s degree,5.0,"Developer, front-end",70818.0
Australia,Master’s degree,10.0,"Developer, front-end",106895.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",46767.0
Australia,Bachelor’s degree,16.0,"Developer, front-end",80840.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",66800.0
Australia,Master’s degree,3.0,"Developer, front-end",46767.0
Australia,Bachelor’s degree,9.0,"Developer, front-end",60129.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",79503.0
Australia,Bachelor’s degree,13.0,"Developer, front-end",73491.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",102800.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",36750.0
Australia,Bachelor’s degree,3.0,"Developer, front-end",57456.0
Australia,Bachelor’s degree,4.0,"Developer, front-end",60129.0
Australia,Bachelor’s degree,16.0,"Developer, front-end",86853.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",55452.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",40086.0
Australia,Less than a Bachelor’s,21.0,"Developer, front-end",66810.0
Australia,Master’s degree,3.0,"Developer, front-end",60129.0
Australia,Bachelor’s degree,9.0,"Developer, front-end",53448.0
Australia,Postgraduate,11.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,9.0,"Developer, front-end",123598.0
Australia,Bachelor’s degree,13.0,"Developer, front-end",86853.0
Australia,Bachelor’s degree,15.0,"Developer, front-end",60129.0
Australia,Master’s degree,30.0,"Developer, front-end",86853.0
Australia,Bachelor’s degree,11.0,"Developer, front-end",63469.0
Australia,Bachelor’s degree,12.0,"Developer, front-end",133619.0
Australia,Master’s degree,11.0,"Developer, front-end",73216.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",133619.0
Australia,Bachelor’s degree,8.0,"Developer, front-end",60129.0
Australia,Bachelor’s degree,16.0,"Developer, front-end",80172.0
Australia,Less than a Bachelor’s,18.0,"Developer, front-end",68146.0
Australia,Bachelor’s degree,12.0,"Developer, front-end",70150.0
Australia,Bachelor’s degree,16.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,1.0,"Developer, front-end",66810.0
Australia,Less than a Bachelor’s,12.0,"Developer, front-end",116900.0
Australia,Master’s degree,3.0,"Developer, front-end",66810.0
Australia,Less than a Bachelor’s,9.0,"Developer, front-end",68814.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",63469.0
Australia,Less than a Bachelor’s,1.0,"Developer, front-end",46099.0
Australia,Bachelor’s degree,11.0,"Developer, front-end",80172.0
Australia,Less than a Bachelor’s,10.0,"Developer, front-end",86853.0
Australia,Less than a Bachelor’s,9.0,"Developer, front-end",93533.0
Australia,Bachelor’s degree,3.0,"Developer, front-end",50107.0
Australia,Less than a Bachelor’s,24.0,"Developer, front-end",133619.0
Australia,Bachelor’s degree,10.0,"Developer, front-end",53448.0
Australia,Less than a Bachelor’s,15.0,"Developer, front-end",120257.0
Australia,Bachelor’s degree,12.0,"Developer, front-end",106895.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",46767.0
Australia,Bachelor’s degree,22.0,"Developer, front-end",70818.0
Australia,Bachelor’s degree,23.0,"Developer, front-end",96874.0
Australia,Less than a Bachelor’s,15.0,"Developer, front-end",53448.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",68146.0
Australia,Bachelor’s degree,8.0,"Developer, front-end",48108.0
Australia,Less than a Bachelor’s,14.0,"Developer, front-end",113576.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",53450.0
Australia,Bachelor’s degree,3.0,"Developer, front-end",53448.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",86853.0
Australia,Less than a Bachelor’s,16.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,17.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,22.0,"Developer, front-end",76831.0
Australia,Less than a Bachelor’s,20.0,"Developer, front-end",76831.0
Australia,Bachelor’s degree,1.0,"Developer, front-end",38616.0
Australia,Bachelor’s degree,16.0,"Developer, front-end",48103.0
Australia,Less than a Bachelor’s,8.0,"Developer, front-end",46767.0
Australia,Bachelor’s degree,16.0,"Developer, front-end",64805.0
Australia,Less than a Bachelor’s,15.0,"Developer, front-end",56124.0
Australia,Bachelor’s degree,23.0,"Developer, front-end",116917.0
Australia,Bachelor’s degree,7.0,"Developer, front-end",69482.0
Australia,Bachelor’s degree,11.0,"Developer, front-end",86853.0
Australia,Less than a Bachelor’s,20.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,7.0,"Developer, front-end",53448.0
Australia,Master’s degree,18.0,"Developer, front-end",116917.0
Australia,Less than a Bachelor’s,3.0,"Developer, front-end",66810.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",70818.0
Australia,Less than a Bachelor’s,3.0,"Developer, front-end",60129.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",104891.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",66810.0
Australia,Less than a Bachelor’s,10.0,"Developer, front-end",76831.0
Australia,Bachelor’s degree,11.0,"Developer, front-end",133619.0
Australia,Bachelor’s degree,7.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,19.0,"Developer, front-end",110236.0
Australia,Less than a Bachelor’s,10.0,"Developer, front-end",87521.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",46767.0
Australia,Bachelor’s degree,18.0,"Developer, front-end",116917.0
Australia,Master’s degree,28.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,0.5,"Developer, front-end",44762.0
Australia,Master’s degree,5.0,"Developer, front-end",86853.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",73491.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",91529.0
Australia,Bachelor’s degree,13.0,"Developer, front-end",63469.0
Australia,Bachelor’s degree,11.0,"Developer, front-end",73491.0
Australia,Bachelor’s degree,10.0,"Developer, front-end",43426.0
Australia,Bachelor’s degree,4.0,"Developer, front-end",70150.0
Australia,Less than a Bachelor’s,12.0,"Developer, front-end",53448.0
Australia,Master’s degree,0.5,"Developer, front-end",40080.0
Australia,Master’s degree,0.5,"Developer, front-end",40080.0
Australia,Bachelor’s degree,15.0,"Developer, front-end",76831.0
Australia,Postgraduate,25.0,"Developer, front-end",60129.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",66142.0
Australia,Bachelor’s degree,7.0,"Developer, front-end",83512.0
Australia,Bachelor’s degree,22.0,"Developer, front-end",47435.0
Australia,Less than a Bachelor’s,14.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,7.0,"Developer, front-end",66810.0
Australia,Bachelor’s degree,12.0,"Developer, front-end",74827.0
Australia,Bachelor’s degree,8.0,"Developer, front-end",48108.0
Australia,Less than a Bachelor’s,22.0,"Developer, front-end",76831.0
Australia,Bachelor’s degree,5.0,"Developer, front-end",103555.0
Australia,Bachelor’s degree,4.0,"Developer, front-end",66810.0
Australia,Less than a Bachelor’s,6.0,"Developer, front-end",64137.0
Australia,Less than a Bachelor’s,7.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,19.0,"Developer, front-end",98395.0
Australia,Bachelor’s degree,13.0,"Developer, front-end",72154.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",66810.0
Australia,Master’s degree,17.0,"Developer, front-end",113576.0
Australia,Bachelor’s degree,2.0,"Developer, front-end",92398.0
Australia,Bachelor’s degree,15.0,"Developer, front-end",66810.0
Australia,Bachelor’s degree,20.0,"Developer, front-end",120250.0
Australia,Bachelor’s degree,6.0,"Developer, front-end",80172.0
Australia,Bachelor’s degree,0.5,"Developer, front-end",52780.0
Australia,Bachelor’s degree,7.0,"Developer, front-end",46767.0
Norway,Master’s degree,22.0,"Developer, front-end",107895.0
Norway,Bachelor’s degree,13.0,"Developer, front-end",97106.0
Norway,Bachelor’s degree,5.0,"Developer, front-end",67435.0
Norway,Less than a Bachelor’s,2.0,"Developer, front-end",67435.0
Norway,Bachelor’s degree,2.0,"Developer, front-end",58264.0
Norway,Bachelor’s degree,1.0,"Developer, front-end",62698.0
Norway,Less than a Bachelor’s,10.0,"Developer, front-end",53948.0
Norway,Less than a Bachelor’s,3.0,"Developer, front-end",58260.0
Norway,Bachelor’s degree,3.0,"Developer, front-end",80922.0
Norway,Less than a Bachelor’s,10.0,"Developer, front-end",98185.0
Norway,Master’s degree,22.0,"Developer, front-end",97106.0
Norway,Postgraduate,11.0,"Developer, front-end",91711.0
Norway,Bachelor’s degree,14.0,"Developer, front-end",93869.0
Norway,Master’s degree,13.0,"Developer, front-end",118685.0
Norway,Bachelor’s degree,2.0,"Developer, front-end",63444.0
Norway,Master’s degree,0.5,"Developer, front-end",64737.0
Norway,Master’s degree,6.0,"Developer, front-end",83619.0
Norway,Master’s degree,0.5,"Developer, front-end",53948.0
Norway,Bachelor’s degree,3.0,"Developer, front-end",60421.0
Norway,Bachelor’s degree,6.0,"Developer, front-end",64740.0
Norway,Master’s degree,3.0,"Developer, front-end",86316.0
Norway,Master’s degree,2.0,"Developer, front-end",54384.0
Norway,Bachelor’s degree,3.0,"Developer, front-end",60421.0
Norway,Master’s degree,13.0,"Developer, front-end",80922.0
Norway,Bachelor’s degree,2.0,"Developer, front-end",61500.0
Norway,Master’s degree,4.0,"Developer, front-end",75527.0
Norway,Bachelor’s degree,3.0,"Developer, front-end",80922.0
Norway,Master’s degree,15.0,"Developer, front-end",75527.0
Norway,Master’s degree,3.0,"Developer, front-end",79843.0
Norway,Master’s degree,11.0,"Developer, front-end",58056.0
Norway,Bachelor’s degree,10.0,"Developer, front-end",70132.0
Norway,Less than a Bachelor’s,20.0,"Developer, front-end",75527.0
Norway,Bachelor’s degree,6.0,"Developer, front-end",75527.0
Norway,Less than a Bachelor’s,4.0,"Developer, front-end",86316.0
Norway,Master’s degree,9.0,"Developer, front-end",90133.0
Norway,Postgraduate,19.0,"Developer, front-end",118685.0
Norway,Less than a Bachelor’s,4.0,"Developer, front-end",53948.0
Norway,Bachelor’s degree,10.0,"Developer, front-end",86316.0
Norway,Less than a Bachelor’s,4.0,"Developer, front-end",58264.0
Norway,Master’s degree,14.0,"Developer, front-end",97106.0
Norway,Less than a Bachelor’s,18.0,"Developer, front-end",107895.0
Norway,Master’s degree,10.0,"Developer, front-end",70132.0
Norway,Bachelor’s degree,3.0,"Developer, front-end",56106.0
Norway,Bachelor’s degree,13.0,"Developer, front-end",64737.0
Norway,Bachelor’s degree,20.0,"Developer, front-end",71208.0
Norway,Less than a Bachelor’s,5.0,"Developer, front-end",79303.0
Norway,Master’s degree,20.0,"Developer, front-end",64737.0
Norway,Master’s degree,1.0,"Developer, front-end",67435.0
Norway,Bachelor’s degree,3.0,"Developer, front-end",48553.0
Norway,Bachelor’s degree,2.0,"Developer, front-end",75528.0
Norway,Bachelor’s degree,2.0,"Developer, front-end",75528.0
Norway,Bachelor’s degree,9.0,"Developer, front-end",129474.0
Norway,Master’s degree,1.0,"Developer, front-end",72829.0
Norway,Master’s degree,2.0,"Developer, front-end",70132.0
Norway,Bachelor’s degree,7.0,"Developer, front-end",65889.0
Norway,Master’s degree,9.0,"Developer, front-end",112535.0
Norway,Master’s degree,7.0,"Developer, front-end",80922.0
Norway,Bachelor’s degree,11.0,"Developer, front-end",77688.0
Norway,Master’s degree,6.0,"Developer, front-end",91711.0
Norway,Master’s degree,4.0,"Developer, front-end",82540.0
Norway,Bachelor’s degree,4.0,"Developer, front-end",78764.0
Norway,Bachelor’s degree,13.0,"Developer, front-end",77685.0
Norway,Bachelor’s degree,10.0,"Developer, front-end",78764.0
Norway,Bachelor’s degree,19.0,"Developer, front-end",103580.0
Norway,Bachelor’s degree,7.0,"Developer, front-end",65816.0
Norway,Bachelor’s degree,2.0,"Developer, front-end",48553.0
Norway,Bachelor’s degree,0.5,"Developer, front-end",51790.0
Norway,Master’s degree,15.0,"Developer, front-end",129474.0
Norway,Less than a Bachelor’s,21.0,"Developer, front-end",134869.0
Norway,Bachelor’s degree,10.0,"Developer, front-end",80000.0
Norway,Master’s degree,16.0,"Developer, front-end",87395.0
Norway,Bachelor’s degree,15.0,"Developer, front-end",93869.0
Norway,Bachelor’s degree,10.0,"Developer, front-end",107895.0
Norway,Master’s degree,4.0,"Developer, front-end",72398.0
Norway,Bachelor’s degree,7.0,"Developer, front-end",77145.0
Norway,Bachelor’s degree,7.0,"Developer, front-end",66356.0
Norway,Master’s degree,0.5,"Developer, front-end",59342.0
Norway,Bachelor’s degree,3.0,"Developer, front-end",73455.0
Norway,Bachelor’s degree,13.0,"Developer, front-end",91711.0
Norway,Master’s degree,18.0,"Developer, front-end",73369.0
Norway,Bachelor’s degree,5.0,"Developer, front-end",75527.0
Norway,Bachelor’s degree,28.0,"Developer, front-end",70132.0
Norway,Bachelor’s degree,4.0,"Developer, front-end",80280.0
Norway,Master’s degree,4.0,"Developer, front-end",66895.0
Norway,Master’s degree,7.0,"Developer, front-end",91711.0
Norway,Master’s degree,15.0,"Developer, front-end",80922.0
Norway,Less than a Bachelor’s,24.0,"Developer, front-end",70132.0
Norway,Bachelor’s degree,24.0,"Developer, front-end",97106.0
Norway,Master’s degree,3.0,"Developer, front-end",82000.0
Norway,Bachelor’s degree,1.0,"Developer, front-end",75527.0
Norway,Master’s degree,4.0,"Developer, front-end",60421.0
Norway,Less than a Bachelor’s,22.0,"Developer, front-end",105936.0
Norway,Bachelor’s degree,1.0,"Developer, front-end",67974.0
Norway,Less than a Bachelor’s,24.0,"Developer, front-end",88474.0
Sweden,Postgraduate,3.0,"Engineer, data",55224.0
Sweden,Master’s degree,1.0,"Engineer, data",46632.0
Sweden,Master’s degree,3.0,"Engineer, data",56460.0
Sweden,Bachelor’s degree,2.0,"Engineer, data",61368.0
Sweden,Master’s degree,3.0,"Engineer, data",50196.0
Sweden,Postgraduate,6.0,"Engineer, data",52776.0
Sweden,Postgraduate,10.0,"Engineer, data",61368.0
Sweden,Postgraduate,5.0,"Engineer, data",77316.0
Sweden,Master’s degree,2.0,"Engineer, data",42960.0
Sweden,Postgraduate,7.0,"Engineer, data",50316.0
Sweden,Master’s degree,9.0,"Engineer, data",79776.0
Sweden,Bachelor’s degree,17.0,"Engineer, data",55224.0
Spain,Bachelor’s degree,11.0,"Engineer, data",86478.0
Spain,Bachelor’s degree,11.0,"Engineer, data",68642.0
Spain,Master’s degree,3.0,"Engineer, data",21620.0
Spain,Master’s degree,18.0,"Engineer, data",70264.0
Spain,Postgraduate,2.0,"Engineer, data",43239.0
Spain,Less than a Bachelor’s,6.0,"Engineer, data",52968.0
Spain,Bachelor’s degree,17.0,"Engineer, data",75669.0
Spain,Bachelor’s degree,11.0,"Engineer, data",70264.0
Spain,Postgraduate,15.0,"Engineer, data",81074.0
Spain,Postgraduate,14.0,"Engineer, data",32424.0
Spain,Bachelor’s degree,4.0,"Engineer, data",43239.0
Spain,Master’s degree,8.0,"Engineer, data",49725.0
Spain,Postgraduate,19.0,"Engineer, data",35672.0
Spain,Master’s degree,2.0,"Engineer, data",22056.0
Spain,Master’s degree,5.0,"Engineer, data",37834.0
Spain,Master’s degree,15.0,"Engineer, data",91883.0
Spain,Master’s degree,5.0,"Engineer, data",37834.0
Spain,Master’s degree,10.0,"Engineer, data",56211.0
Spain,Bachelor’s degree,8.0,"Engineer, data",45942.0
Spain,Master’s degree,18.0,"Engineer, data",87559.0
Spain,Master’s degree,2.0,"Engineer, data",23352.0
Spain,Master’s degree,7.0,"Engineer, data",36324.0
Spain,Master’s degree,0.5,"Engineer, data",20539.0
Spain,Less than a Bachelor’s,26.0,"Engineer, data",32429.0
Spain,Bachelor’s degree,2.0,"Engineer, data",43239.0
Spain,Master’s degree,2.0,"Engineer, data",28105.0
Spain,Bachelor’s degree,4.0,"Engineer, data",41618.0
Spain,Master’s degree,5.0,"Engineer, data",32429.0
Spain,Less than a Bachelor’s,20.0,"Engineer, data",70264.0
Spain,Less than a Bachelor’s,11.0,"Engineer, data",39996.0
Spain,Master’s degree,4.0,"Engineer, data",32429.0
Spain,Bachelor’s degree,4.0,"Engineer, data",33510.0
Spain,Master’s degree,6.0,"Engineer, data",55128.0
Spain,Master’s degree,30.0,"Engineer, data",48644.0
Spain,Master’s degree,2.0,"Engineer, data",27025.0
Spain,Master’s degree,3.0,"Engineer, data",27025.0
Spain,Master’s degree,9.0,"Engineer, data",51076.0
Spain,Master’s degree,3.0,"Engineer, data",34591.0
Spain,Less than a Bachelor’s,6.0,"Engineer, data",37834.0
Spain,Master’s degree,16.0,"Engineer, data",54049.0
Spain,Master’s degree,3.0,"Engineer, data",15564.0
Spain,Master’s degree,4.0,"Engineer, data",37294.0
Spain,Master’s degree,15.0,"Engineer, data",54049.0
Spain,Master’s degree,3.0,"Engineer, data",54049.0
Germany,Bachelor’s degree,7.0,"Engineer, data",43239.0
Germany,Bachelor’s degree,11.0,"Engineer, data",51887.0
Germany,Bachelor’s degree,11.0,"Engineer, data",81074.0
Germany,Master’s degree,3.0,"Engineer, data",81074.0
Germany,Master’s degree,10.0,"Engineer, data",97288.0
Germany,Bachelor’s degree,12.0,"Engineer, data",92964.0
Germany,Bachelor’s degree,4.0,"Engineer, data",64859.0
Germany,Master’s degree,5.0,"Engineer, data",59454.0
Germany,Postgraduate,10.0,"Engineer, data",75669.0
Germany,Less than a Bachelor’s,4.0,"Engineer, data",102693.0
Germany,Bachelor’s degree,4.0,"Engineer, data",46482.0
Germany,Bachelor’s degree,12.0,"Engineer, data",84316.0
Germany,Less than a Bachelor’s,15.0,"Engineer, data",66480.0
Germany,Master’s degree,3.0,"Engineer, data",71340.0
Germany,Postgraduate,12.0,"Engineer, data",83016.0
Germany,Master’s degree,7.0,"Engineer, data",67021.0
Germany,Postgraduate,5.0,"Engineer, data",74588.0
Germany,Postgraduate,4.0,"Engineer, data",68102.0
Germany,Master’s degree,6.0,"Engineer, data",50592.0
Germany,Bachelor’s degree,4.0,"Engineer, data",64859.0
Germany,Postgraduate,10.0,"Engineer, data",89721.0
Germany,Postgraduate,14.0,"Engineer, data",75669.0
Germany,Less than a Bachelor’s,2.0,"Engineer, data",36324.0
Germany,Master’s degree,14.0,"Engineer, data",64859.0
Germany,Master’s degree,2.0,"Engineer, data",55130.0
Germany,Bachelor’s degree,5.0,"Engineer, data",81074.0
Germany,Master’s degree,17.0,"Engineer, data",97288.0
Germany,Master’s degree,5.0,"Engineer, data",69183.0
Germany,Master’s degree,10.0,"Engineer, data",94586.0
Germany,Master’s degree,8.0,"Engineer, data",75669.0
Germany,Master’s degree,16.0,"Engineer, data",99450.0
Germany,Master’s degree,11.0,"Engineer, data",81074.0
Germany,Master’s degree,10.0,"Engineer, data",75669.0
Germany,Bachelor’s degree,10.0,"Engineer, data",86478.0
Germany,Master’s degree,4.0,"Engineer, data",73507.0
Germany,Master’s degree,3.0,"Engineer, data",64859.0
Germany,Less than a Bachelor’s,20.0,"Engineer, data",75885.0
Germany,Postgraduate,10.0,"Engineer, data",88640.0
Germany,Postgraduate,7.0,"Engineer, data",69183.0
Germany,Less than a Bachelor’s,16.0,"Engineer, data",75660.0
Germany,Master’s degree,5.0,"Engineer, data",56211.0
Germany,Bachelor’s degree,9.0,"Engineer, data",78263.0
Germany,Postgraduate,9.0,"Engineer, data",84316.0
Germany,Master’s degree,4.0,"Engineer, data",51888.0
Germany,Bachelor’s degree,6.0,"Engineer, data",64860.0
Germany,Master’s degree,5.0,"Engineer, data",64859.0
Germany,Master’s degree,26.0,"Engineer, data",70264.0
Germany,Master’s degree,3.0,"Engineer, data",59454.0
Germany,Master’s degree,4.0,"Engineer, data",59454.0
Germany,Master’s degree,15.0,"Engineer, data",101612.0
Germany,Less than a Bachelor’s,5.0,"Engineer, data",70264.0
Germany,Bachelor’s degree,17.0,"Engineer, data",102693.0
Germany,Bachelor’s degree,10.0,"Engineer, data",75669.0
Germany,Bachelor’s degree,5.0,"Engineer, data",105071.0
Germany,Postgraduate,4.0,"Engineer, data",86478.0
Germany,Postgraduate,3.0,"Engineer, data",70264.0
Germany,Master’s degree,15.0,"Engineer, data",97288.0
Germany,Less than a Bachelor’s,13.0,"Engineer, data",76750.0
Germany,Less than a Bachelor’s,30.0,"Engineer, data",64859.0
Germany,Master’s degree,10.0,"Engineer, data",57292.0
Germany,Bachelor’s degree,2.0,"Engineer, data",54049.0
