Country,EdLevel,YearsExperience,DevType,AnualSalary
Germany,Master’s degree,7.0,Data scientist or machine learning specialist,51888.0
Germany,Master’s degree,8.0,Data scientist or machine learning specialist,64859.0
Germany,Postgraduate,4.0,Data scientist or machine learning specialist,68748.0
Germany,Postgraduate,5.0,Data scientist or machine learning specialist,86478.0
Germany,Postgraduate,7.0,Data scientist or machine learning specialist,71345.0
Germany,Master’s degree,7.0,Data scientist or machine learning specialist,25428.0
Germany,Master’s degree,12.0,Data scientist or machine learning specialist,81074.0
Germany,Master’s degree,5.0,Data scientist or machine learning specialist,86478.0
Germany,Master’s degree,10.0,Data scientist or machine learning specialist,75669.0
Germany,Postgraduate,10.0,Data scientist or machine learning specialist,89721.0
Germany,Postgraduate,19.0,Data scientist or machine learning specialist,63564.0
Germany,Postgraduate,7.0,Data scientist or machine learning specialist,61616.0
Germany,Master’s degree,10.0,Data scientist or machine learning specialist,59454.0
Germany,Postgraduate,3.0,Data scientist or machine learning specialist,91883.0
Germany,Master’s degree,6.0,Data scientist or machine learning specialist,32450.0
Germany,Postgraduate,8.0,Data scientist or machine learning specialist,91883.0
Germany,Master’s degree,3.0,Data scientist or machine learning specialist,43239.0
Germany,Master’s degree,3.0,Data scientist or machine learning specialist,75669.0
Germany,Master’s degree,3.0,Data scientist or machine learning specialist,70264.0
Germany,Bachelor’s degree,5.0,Data scientist or machine learning specialist,86478.0
Germany,Master’s degree,4.0,Data scientist or machine learning specialist,61616.0
Germany,Bachelor’s degree,2.0,Data scientist or machine learning specialist,22056.0
Turkey,Master’s degree,5.0,Data scientist or machine learning specialist,39444.0
Turkey,Bachelor’s degree,3.0,Data scientist or machine learning specialist,23664.0
Turkey,Bachelor’s degree,6.0,Data scientist or machine learning specialist,19728.0
Turkey,Bachelor’s degree,2.0,Data scientist or machine learning specialist,29580.0
Turkey,Master’s degree,2.0,Data scientist or machine learning specialist,19728.0
Turkey,Bachelor’s degree,0.5,Data scientist or machine learning specialist,11832.0
Turkey,Master’s degree,0.5,Data scientist or machine learning specialist,24000.0
Turkey,Master’s degree,3.0,Data scientist or machine learning specialist,24655.0
Turkey,Master’s degree,3.0,Data scientist or machine learning specialist,17352.0
Turkey,Bachelor’s degree,2.0,Data scientist or machine learning specialist,11244.0
Turkey,Bachelor’s degree,4.0,Data scientist or machine learning specialist,9864.0
Turkey,Master’s degree,3.0,Data scientist or machine learning specialist,35508.0
Turkey,Master’s degree,1.0,Data scientist or machine learning specialist,9864.0
Canada,Master’s degree,3.0,Data scientist or machine learning specialist,98321.0
Canada,Master’s degree,1.0,Data scientist or machine learning specialist,51429.0
Canada,Less than a Bachelor’s,6.0,Data scientist or machine learning specialist,124792.0
Canada,Postgraduate,3.0,Data scientist or machine learning specialist,109665.0
